exec,lat,margin,L,feasible,cfg,cagr_is,maxdd_is,liqs_is,trades_is,sharpe_is,years_is,edge_bp_is,edge_t_is,cagr_oos,maxdd_oos,worst_day_oos,liqs_oos,trades_oos,rejected_oos,sharpe_oos,years_oos,edge_bp_oos,edge_t_oos,n_oos_all
maker,0,mc,1,True,all5 W240 k80 x0.0 H480 both1 conf1,0.026137,-0.19865,0,86,0.26729,2022:+0.0615;2023:+0.0057;2024:+0.0121;2025:+0.0000,16.112,0.90693,0.00031772,-0.05265,-0.0060351,0,6,0,0.049262,2025:+0.0005;2026:+0.0000,-38.895,-0.91739,19
maker,0,mc,3,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.037034,-0.030105,0,13,1.0142,2022:+0.0334;2023:+0.0874;2024:-0.0075;2025:+0.0000,48.581,3.1565,0.019834,-0.034668,-0.0079582,0,5,0,0.80898,2025:+0.0196;2026:+0.0134,17.727,1.2812,7
maker,0,mc,5,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.061624,-0.050175,0,13,1.0136,2022:+0.0558;2023:+0.1478;2024:-0.0127;2025:+0.0000,48.581,3.1565,0.03293,-0.057648,-0.013264,0,5,0,0.80895,2025:+0.0323;2026:+0.0224,17.727,1.2812,7
maker,0,mc,10,False,,,,,,,,,,,,,,,,,,,,
maker,0,mc,15,False,,,,,,,,,,,,,,,,,,,,
maker,0,mc,20,False,,,,,,,,,,,,,,,,,,,,
maker,0,pm,1,True,all5 W240 k80 x0.0 H480 both1 conf1,0.026137,-0.19865,0,86,0.26729,2022:+0.0615;2023:+0.0057;2024:+0.0121;2025:+0.0000,16.112,0.90693,0.00031772,-0.05265,-0.0060351,0,6,0,0.049262,2025:+0.0005;2026:+0.0000,-38.895,-0.91739,19
maker,0,pm,3,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.037034,-0.030105,0,13,1.0142,2022:+0.0334;2023:+0.0874;2024:-0.0075;2025:+0.0000,48.581,3.1565,0.019834,-0.034668,-0.0079582,0,5,0,0.80898,2025:+0.0196;2026:+0.0134,17.727,1.2812,7
maker,0,pm,5,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.061624,-0.050175,0,13,1.0136,2022:+0.0558;2023:+0.1478;2024:-0.0127;2025:+0.0000,48.581,3.1565,0.03293,-0.057648,-0.013264,0,5,0,0.80895,2025:+0.0323;2026:+0.0224,17.727,1.2812,7
maker,0,pm,10,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.12305,-0.10035,0,13,1.013,2022:+0.1126;2023:+0.3075;2024:-0.0263;2025:+0.0000,48.581,3.1565,0.065232,-0.11462,-0.026527,0,5,0,0.80889,2025:+0.0634;2026:+0.0447,17.727,1.2812,7
maker,0,pm,15,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.18427,-0.15052,0,13,1.0129,2022:+0.1702;2023:+0.4801;2024:-0.0410;2025:+0.0000,48.581,3.1565,0.096905,-0.1709,-0.039791,0,5,0,0.80884,2025:+0.0931;2026:+0.0671,17.727,1.2812,7
maker,0,pm,20,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.24515,-0.2007,0,13,1.0128,2022:+0.2287;2023:+0.6658;2024:-0.0568;2025:+0.0000,48.581,3.1565,0.12794,-0.22647,-0.053055,0,5,0,0.80879,2025:+0.1216;2026:+0.0894,17.727,1.2812,7
maker,0,sep,1,True,all5 W240 k80 x0.0 H480 both1 conf1,0.026104,-0.19865,0,86,0.26703,2022:+0.0615;2023:+0.0056;2024:+0.0121;2025:+0.0000,16.112,0.90693,0.00031431,-0.05265,-0.0060351,0,6,0,0.048789,2025:+0.0005;2026:+0.0000,-38.895,-0.91739,19
maker,0,sep,3,True,all5 W240 k80 x0.0 H120 both1 conf0,0.12844,-0.52255,7,104,0.53208,2022:+0.3826;2023:+0.0638;2024:-0.0230;2025:+0.0000,10.179,0.60064,-0.2558,-0.41972,-0.38551,1,6,0,-0.78336,2025:-0.3966;2026:+0.0135,-24.074,-0.71293,23
maker,0,sep,5,True,btceth W1440 k80 x0.5 H30 both1 conf0,0.01962,-0.07635,0,13,0.35837,2022:+0.0331;2023:+0.0954;2024:-0.0633;2025:+0.0000,28.88,1.8298,-0.13565,-0.28323,-0.22326,1,7,0,-0.7373,2025:-0.2292;2026:+0.0178,-2.7095,-0.18935,9
maker,0,sep,10,False,,,,,,,,,,,,,,,,,,,,
maker,0,sep,15,False,,,,,,,,,,,,,,,,,,,,
maker,0,sep,20,False,,,,,,,,,,,,,,,,,,,,
taker,0,mc,1,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.00085556,-0.013128,0,13,0.088759,2022:+0.0002;2023:+0.0080;2024:-0.0056;2025:+0.0000,42.159,2.4026,0.0061042,-0.025262,-0.0021599,0,5,0,0.7316,2025:-0.0002;2026:+0.0104,19.763,0.56015,7
taker,0,mc,3,True,btceth W1440 k80 x0.0 H120 both1 conf0,0.0019768,-0.039383,0,13,0.081362,2022:+0.0012;2023:+0.0225;2024:-0.0173;2025:+0.0000,41.171,2.3935,0.017291,-0.0747,-0.0064798,0,5,0,0.70047,2025:-0.0022;2026:+0.0312,19.763,0.56015,7
taker,0,mc,5,True,btceth W1440 k80 x0.0 H120 both1 conf0,0.0027216,-0.065638,0,13,0.079917,2022:+0.0018;2023:+0.0372;2024:-0.0297;2025:+0.0000,41.171,2.3935,0.027119,-0.1227,-0.0108,0,5,0,0.66791,2025:-0.0061;2026:+0.0520,19.763,0.56015,7
taker,0,mc,10,False,,,,,,,,,,,,,,,,,,,,
taker,0,mc,15,False,,,,,,,,,,,,,,,,,,,,
taker,0,mc,20,False,,,,,,,,,,,,,,,,,,,,
taker,0,pm,1,True,btceth W1440 k80 x0.0 H480 both1 conf0,0.00085556,-0.013128,0,13,0.088759,2022:+0.0002;2023:+0.0080;2024:-0.0056;2025:+0.0000,42.159,2.4026,0.0061042,-0.025262,-0.0021599,0,5,0,0.7316,2025:-0.0002;2026:+0.0104,19.763,0.56015,7
taker,0,pm,3,True,btceth W1440 k80 x0.0 H120 both1 conf0,0.0019768,-0.039383,0,13,0.081362,2022:+0.0012;2023:+0.0225;2024:-0.0173;2025:+0.0000,41.171,2.3935,0.017291,-0.0747,-0.0064798,0,5,0,0.70047,2025:-0.0022;2026:+0.0312,19.763,0.56015,7
taker,0,pm,5,True,btceth W1440 k80 x0.0 H120 both1 conf0,0.0027216,-0.065638,0,13,0.079917,2022:+0.0018;2023:+0.0372;2024:-0.0297;2025:+0.0000,41.171,2.3935,0.027119,-0.1227,-0.0108,0,5,0,0.66791,2025:-0.0061;2026:+0.0520,19.763,0.56015,7
