sym,i,tranche,entry_t,entry_px,notional,late,E_before,exit_t,ret,reason
APEUSDT,10,0,2583,13.9594,0.03803152463955337,0,0.999920133798257,2727,0.03939281057925137,end
APEUSDT,10,1,2631,11.029,0.056024229371323474,0,1.0082260599900676,2727,-0.2158400580288331,end
OPUSDT,17,0,4406,1.3326,0.047706481561636066,0,0.9946903015977705,4550,0.24118265045775167,end
OPUSDT,17,1,4454,1.3556,0.06347845432493902,0,0.9931745162924169,4550,0.2540572440247859,end
APTUSDT,26,0,7754,7.0915,0.07426640338891335,0,1.0256984541137313,7898,-0.23223577522385952,end
APTUSDT,26,1,7802,7.5079,0.10212682172683689,0,1.0210537509427426,7898,-0.16389403162002703,end
ARBUSDT,52,0,11487,1.3731,0.07159329513213053,0,0.9958799820530719,11631,0.016240623406889476,end
ARBUSDT,52,1,11535,1.3052,0.09989487453847833,0,0.9987389661482525,11631,-0.03493717437940558,end
BLURUSDT,59,0,12348,0.7066,0.09964883256099297,0,0.9962790630615516,12492,0.18624398528163044,end
BLURUSDT,59,1,12396,0.6764,0.09978622248425408,0,0.9976526737753237,12492,0.1499112950916618,end
SUIUSDT,62,0,12496,1.3069,0.10310870690532062,1,1.0308705407687049,12616,0.07712908409212638,end
SUIUSDT,62,1,12520,1.3352,0.10258977996506786,0,1.025682361112752,12616,0.09668963451168366,end
1000PEPEUSDT,63,0,12520,0.0029357999999999997,0.03491520671656799,0,1.0258977996506786,12664,0.5987465086177532,end
1000PEPEUSDT,63,1,12568,0.0021206000000000003,0.05205527387822634,0,1.0658772824903866,12664,0.4444968405168349,end
1000FLOKIUSDT,64,0,12544,0.04037,0.10379084701719335,0,1.0376905093931974,12688,0.11072578647510534,end
1000FLOKIUSDT,64,1,12592,0.034230000000000003,0.10733931073022354,0,1.073167694749702,12688,-0.04878761320479108,end
WLDUSDT,73,0,14436,2.1345,0.07699726200055182,0,1.0752947693392823,14580,-0.08175216678379016,end
WLDUSDT,73,1,14484,2.2426,0.09602805232830858,0,1.0720014894473147,14580,-0.02960849014536704,end
BIGTIMEUSDT,90,0,16358,0.2366,0.034408203493983894,0,1.065614808400084,16502,0.3762045646661032,end
BIGTIMEUSDT,90,1,16406,0.24504,0.04777364741768318,0,1.064259664098669,16502,0.39769017303297427,end
ORBSUSDT,92,0,16470,0.05527,0.046473761684670094,0,1.0962670455076944,16614,0.18364392979916766,end
ORBSUSDT,92,1,16518,0.04222,0.0537310238861319,0,1.1122776087326138,16614,-0.06868782567503562,end
BSVUSDT,95,0,16548,55.43,0.11100471293495129,0,1.1098140194523496,16692,0.17246978170665705,end
BSVUSDT,95,1,16596,52.05,0.11169156259683,0,1.1166810736868467,16692,0.11873198847262245,end
TIAUSDT,101,0,16818,2.582,0.10057130603417486,0,1.1809584231172496,16962,0.11812548412083645,end
TIAUSDT,101,1,16866,2.365,0.11894434146738928,0,1.1891936315568112,16962,0.037209302325581395,end
ORDIUSDT,107,0,16980,12.834,0.056470875758504624,0,1.2357773435110568,17007,-0.4999999999999998,stop
MEMEUSDT,104,0,16884,0.024909,0.06753031476973488,0,1.1860078338046203,17028,0.1846320607009514,end
MEMEUSDT,104,1,16932,0.020466,0.10358055020710004,0,1.2128406026831529,17028,0.007622398123717344,end
ORDIUSDT,107,1,17028,19.929,0.06374965527668307,0,1.198626699495606,17124,-0.017361633799990006,end
PYTHUSDT,115,0,17342,0.4931,0.09967336608597419,0,1.1961523987035483,17486,0.16446968160616504,end
PYTHUSDT,115,1,17390,0.4784,0.11818236714605974,0,1.2005618163123553,17486,0.1387959866220736,end
ETHWUSDT,120,0,17484,2.848,0.1230757755628478,0,1.2304992964997958,17628,-0.02176966292134841,end
ETHWUSDT,120,1,17532,2.68,0.12420112507040057,0,1.2417504283413578,17628,-0.08582089552238803,end
1000SATSUSDT,122,0,17944,0.00065303,0.086376502107578,1,1.242011921044363,17966,-0.12227615882884413,end
